SampleName 	 Merged_Count 	 Raw_Count 	 Merging_Percentage 	 
D4-Fecal-CA-2-13-01_S1098 	 261029 	 261624 	 99.7726
D4-Fecal-CA-2-13-02_S1099 	 387337 	 388153 	 99.7898
D4-Fecal-CA-2-13-03_S1100 	 377850 	 378698 	 99.7761
D4-Fecal-CA-2-13-04_S1101 	 394092 	 394990 	 99.7727
D4-Fecal-CC-2-12-01_S1094 	 247761 	 264544 	 93.6559
D4-Fecal-CC-2-12-02_S1095 	 342833 	 369961 	 92.6673
D4-Fecal-CC-2-12-03_S1096 	 406865 	 440865 	 92.2879
D4-Fecal-CC-2-12-04_S1097 	 345398 	 373524 	 92.4701
D4-Fecal-Full-01_S1130 	 1358811 	 1450428 	 93.6835
D4-Fecal-Full-02_S1131 	 1498755 	 1623308 	 92.3272
D4-Fecal-Full-03_S1132 	 1674253 	 1840214 	 90.9814
D4-Fecal-Full-04_S1133 	 1768509 	 1946751 	 90.8441
D4-Fecal-Pool-01_S1126 	 927110 	 957523 	 96.8238
D4-Fecal-Pool-02_S1127 	 1271072 	 1310580 	 96.9855
D4-Fecal-Pool-03_S1128 	 1267156 	 1314142 	 96.4246
D4-Fecal-Pool-04_S1129 	 1333973 	 1384875 	 96.3244
D4-Fecal-TA-4-15-01_S1106 	 266834 	 269271 	 99.095
D4-Fecal-TA-4-15-02_S1107 	 322849 	 325865 	 99.0745
D4-Fecal-TA-4-15-03_S1108 	 307169 	 309861 	 99.1312
D4-Fecal-TA-4-15-04_S1109 	 195821 	 197882 	 98.9585
D4-Fecal-TC-3-14-01_S1102 	 236431 	 247130 	 95.6707
D4-Fecal-TC-3-14-02_S1103 	 280115 	 292503 	 95.7648
D4-Fecal-TC-3-14-03_S1104 	 344136 	 359059 	 95.8439
D4-Fecal-TC-3-14-04_S1105 	 349527 	 365460 	 95.6403
D4-Fecal-ZA-5-16-01_S1110 	 174802 	 176127 	 99.2477
D4-Fecal-ZA-5-16-02_S1111 	 334583 	 336966 	 99.2928
