"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"37b47e247150c330ef350d45bf236dfb",0,1,5,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dbe3aef20fbbf44459ee7c1777f6a1a7",1,2,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"035c7bcb02a46abb955ee84b2e89a211",1,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9192b3275c36e56540678451adfa601f",8,2,0,0,7,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9e9c4270966cf507485654eb33a69880",0,0,1,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b60d35bc98634392f990337d608d9ce2",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78db7fa6b16b73b101fbb8b282b5330e",0,1,1,1,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d4ecfe33623f297a74de51d7f28b39aa",2,0,0,2,0,0,3,0,0,0,0,8,8,10,1,9,12,5,9,7,11,20,15,8,30,6
"e2bd3a9338e344ff658675239fdea3ff",66,81,72,78,113,102,46,75,78,57,74,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46ef48b6096947c86bd1a70949ca8c97",0,0,0,0,7,0,2,0,0,0,0,0,9,17,21,16,9,16,14,0,7,6,19,5,0,15
"8630154f745ba598cdab0bbc4abb4e54",0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7fe920f806b6e59ba7fd98744b92ab55",0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
