"","D4_Feces_515F_806R_01","D4_Feces_515F_806R_02","D4_Feces_515F_806R_03","D4_Feces_515F_806R_04","D4_Feces_tr515F_806R_01","D4_Feces_tr515F_806R_02","D4_Feces_tr515F_806R_03","D4_Feces_tr515F_806R_04","D4_Feces_V1-tr515F_806R_01","D4_Feces_V1-tr515F_806R_02","D4_Feces_V1-tr515F_806R_03","D4_Feces_V1-tr515F_806R_04","D4_Feces_V2-tr515F_806R_01","D4_Feces_V2-tr515F_806R_02","D4_Feces_V2-tr515F_806R_03","D4_Feces_V2-tr515F_806R_04","D4_Feces_V3-tr515F_806R_01","D4_Feces_V3-tr515F_806R_02","D4_Feces_V3-tr515F_806R_03","D4_Feces_V3-tr515F_806R_04","D4_Feces_V4-tr515F_806R_01","D4_Feces_V4-tr515F_806R_02","D4_Feces_V4-tr515F_806R_03","D4_Feces_V4-tr515F_806R_04","D4_Feces_V5-tr515F_806R_01","D4_Feces_V5-tr515F_806R_02","D4_Feces_V5-tr515F_806R_03","D4_Feces_V5-tr515F_806R_04","D4_Feces_V6-tr515F_806R_01","D4_Feces_V6-tr515F_806R_02","D4_Feces_V6-tr515F_806R_03","D4_Feces_V6-tr515F_806R_04","D4_Feces_V7-tr515F_806R_01","D4_Feces_V7-tr515F_806R_02","D4_Feces_V7-tr515F_806R_03","D4_Feces_V7-tr515F_806R_04","D4_Feces_V8-tr515F_806R_01","D4_Feces_V8-tr515F_806R_02","D4_Feces_V8-tr515F_806R_03","D4_Feces_V8-tr515F_806R_04","D6_Skin_515F_806R_01","D6_Skin_515F_806R_02","D6_Skin_515F_806R_03","D6_Skin_515F_806R_04","D6_Skin_tr515F_806R_01","D6_Skin_tr515F_806R_02","D6_Skin_tr515F_806R_03","D6_Skin_tr515F_806R_04","D6_Skin_V1-tr515F_806R_01","D6_Skin_V1-tr515F_806R_02","D6_Skin_V1-tr515F_806R_03","D6_Skin_V1-tr515F_806R_04","D6_Skin_V2-tr515F_806R_01","D6_Skin_V2-tr515F_806R_02","D6_Skin_V2-tr515F_806R_03","D6_Skin_V2-tr515F_806R_04","D6_Skin_V3-tr515F_806R_01","D6_Skin_V3-tr515F_806R_02","D6_Skin_V3-tr515F_806R_03","D6_Skin_V4-tr515F_806R_01","D6_Skin_V4-tr515F_806R_02","D6_Skin_V4-tr515F_806R_03","D6_Skin_V4-tr515F_806R_04","D6_Skin_V5-tr515F_806R_01","D6_Skin_V5-tr515F_806R_02","D6_Skin_V5-tr515F_806R_03","D6_Skin_V5-tr515F_806R_04","D6_Skin_V6-tr515F_806R_01","D6_Skin_V6-tr515F_806R_02","D6_Skin_V6-tr515F_806R_03","D6_Skin_V6-tr515F_806R_04","D6_Skin_V7-tr515F_806R_01","D6_Skin_V7-tr515F_806R_02","D6_Skin_V7-tr515F_806R_03","D6_Skin_V7-tr515F_806R_04","D6_Skin_V8-tr515F_806R_01","D6_Skin_V8-tr515F_806R_02","D6_Skin_V8-tr515F_806R_03","D6_Skin_V8-tr515F_806R_04","D7_Soil_515F_806R_01","D7_Soil_515F_806R_02","D7_Soil_515F_806R_03","D7_Soil_515F_806R_04","D7_Soil_tr515F_806R_01","D7_Soil_tr515F_806R_02","D7_Soil_tr515F_806R_03","D7_Soil_tr515F_806R_04","D7_Soil_V1-tr515F_806R_01","D7_Soil_V1-tr515F_806R_02","D7_Soil_V1-tr515F_806R_03","D7_Soil_V1-tr515F_806R_04","D7_Soil_V2-tr515F_806R_01","D7_Soil_V2-tr515F_806R_02","D7_Soil_V2-tr515F_806R_03","D7_Soil_V2-tr515F_806R_04","D7_Soil_V3-tr515F_806R_01","D7_Soil_V3-tr515F_806R_02","D7_Soil_V3-tr515F_806R_03","D7_Soil_V3-tr515F_806R_04","D7_Soil_V4-tr515F_806R_01","D7_Soil_V4-tr515F_806R_02","D7_Soil_V4-tr515F_806R_03","D7_Soil_V5-tr515F_806R_01","D7_Soil_V5-tr515F_806R_02","D7_Soil_V5-tr515F_806R_03","D7_Soil_V5-tr515F_806R_04","D7_Soil_V6-tr515F_806R_01","D7_Soil_V6-tr515F_806R_02","D7_Soil_V6-tr515F_806R_03","D7_Soil_V6-tr515F_806R_04","D7_Soil_V7-tr515F_806R_01","D7_Soil_V7-tr515F_806R_02","D7_Soil_V7-tr515F_806R_03","D7_Soil_V7-tr515F_806R_04","D7_Soil_V8-tr515F_806R_01","D7_Soil_V8-tr515F_806R_02","D7_Soil_V8-tr515F_806R_03","D7_Soil_V8-tr515F_806R_04","D5_Wastewater_515F_806R_01","D5_Wastewater_515F_806R_02","D5_Wastewater_515F_806R_03","D5_Wastewater_515F_806R_04","D5_Wastewater_tr515F_806R_01","D5_Wastewater_tr515F_806R_02","D5_Wastewater_tr515F_806R_03","D5_Wastewater_tr515F_806R_04","D5_Wastewater_V1-tr515F_806R_01","D5_Wastewater_V1-tr515F_806R_02","D5_Wastewater_V1-tr515F_806R_03","D5_Wastewater_V1-tr515F_806R_04","D5_Wastewater_V2-tr515F_806R_01","D5_Wastewater_V2-tr515F_806R_02","D5_Wastewater_V2-tr515F_806R_03","D5_Wastewater_V2-tr515F_806R_04","D5_Wastewater_V3-tr515F_806R_01","D5_Wastewater_V3-tr515F_806R_02","D5_Wastewater_V3-tr515F_806R_04","D5_Wastewater_V4-tr515F_806R_01","D5_Wastewater_V4-tr515F_806R_02","D5_Wastewater_V4-tr515F_806R_03","D5_Wastewater_V4-tr515F_806R_04","D5_Wastewater_V5-tr515F_806R_01","D5_Wastewater_V5-tr515F_806R_02","D5_Wastewater_V5-tr515F_806R_03","D5_Wastewater_V5-tr515F_806R_04","D5_Wastewater_V6-tr515F_806R_02","D5_Wastewater_V6-tr515F_806R_03","D5_Wastewater_V6-tr515F_806R_04","D5_Wastewater_V7-tr515F_806R_01","D5_Wastewater_V7-tr515F_806R_02","D5_Wastewater_V7-tr515F_806R_03","D5_Wastewater_V8-tr515F_806R_01","D5_Wastewater_V8-tr515F_806R_02","D5_Wastewater_V8-tr515F_806R_03","D5_Wastewater_V8-tr515F_806R_04"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae",7390,7303,7505,7572,7199,7403,7277,7266,7513,6932,6332,6206,7447,7557,7318,7329,6512,6357,6760,5920,7850,7742,7606,7615,7205,7283,7390,7328,2720,2842,2787,2645,7473,7308,7428,7564,7009,7119,6914,6693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,21,5,8,8,3,0,0,0,0,4,2,8,5,0,0,18,24,3,0,2,0,5,2,4,0,0,0,0,2,21,2,8,7,5,0,0,7777,8144,7695,7843,8663,8663,8662,8736,5586,6299,6992,5702,8193,8074,8184,8171,7476,8000,7904,8444,8129,8468,8631,8901,8572,8674,8733,9405,8977,9015,8707,9052,9041,7837,8127,7645,8132
"d__Bacteria;__;__;__;__",4,6,0,3,5,5,10,6,18,10,45,158,22,29,36,40,56,43,44,23,4,0,0,0,6,12,2,12,24,23,16,21,21,5,7,31,9,0,2,3,1,4,1,2,0,1,1,1,2,75,149,116,0,2,0,0,3,104,29,0,0,0,0,0,0,0,3,5,3,3,27,0,3,0,7,2,7,8,14,830,1135,1090,1112,967,908,825,865,2221,2366,2870,2602,864,833,933,929,719,650,617,532,750,911,909,886,965,891,911,894,948,688,732,882,840,897,914,745,662,814,730,29,30,13,16,26,18,30,42,8770,9280,7982,9068,21,20,34,18,392,311,388,8,33,16,19,30,18,19,27,52,145,117,18,28,25,8,48,22,35
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae",626,673,661,665,713,758,749,693,758,393,725,739,691,663,691,704,539,636,535,532,728,690,697,763,686,652,677,681,154,159,203,191,694,729,649,679,640,629,652,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,5,6,12,11,9,3,1,0,0,0,4,3,3,11,6,3,12,4,18,10,18,11,6,6,7,0,5,0,13,8,6,6,26,3,3
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group",302,253,282,249,263,261,274,265,65,312,180,205,194,239,220,239,212,314,243,162,272,200,267,222,244,261,276,255,131,131,169,139,233,244,274,266,217,194,187,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,57,56,43,49,44,39,64,0,0,33,23,54,38,40,51,16,26,46,60,41,44,32,28,41,46,57,42,83,118,45,58,52,17,44,36,34
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae",45478,44723,46506,44727,41585,42807,43318,43361,52134,50436,49392,50681,47644,48104,47660,46755,46800,48060,45998,46550,47485,48088,46939,45100,41628,41431,42637,43344,98399,98713,98971,96990,43401,44670,45083,45029,44791,43558,42902,42906,7,5,2,15,9,19,8,14,386,0,318,246,2,0,2,0,66,369,155,3,10,8,3,1,5,3,4,67,116,52,0,6,3,6,1,43,0,18,28,72,111,85,115,114,92,108,76,123,24,18,29,88,89,73,77,9,9,12,72,78,100,65,88,116,119,104,44,52,30,26,67,86,92,48,88,42,34,63,9604,10038,9558,9821,9351,9486,9969,9463,10391,12163,10517,11141,10023,9676,9304,9257,9772,9832,10850,9400,9664,9293,9681,8858,8813,8931,9390,12567,12948,13251,9385,9555,9823,8230,8743,8608,8708
"d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39",1974,2087,2063,2065,2004,1968,2030,1921,1271,1712,1922,1656,2166,2215,2182,2127,1431,1464,1485,1579,2209,2211,2368,2256,2064,2109,2043,2037,295,318,294,273,2133,2027,1978,2107,1710,1979,1853,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,41,49,28,35,44,53,38,61,17,20,17,30,39,43,27,84,29,32,51,47,48,51,42,72,38,49,3,11,23,52,46,65,47,43,28,26
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae",2132,2207,2012,2138,2104,2202,2270,2141,2326,1912,2605,2335,2010,1974,2042,2173,2620,2256,2638,2675,2055,1997,2147,2222,2283,2274,2249,2204,965,867,880,886,2060,2157,2192,2173,2496,2647,2685,2927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,416,400,466,439,486,377,425,515,275,562,526,514,432,458,461,667,729,598,491,443,493,488,435,473,436,420,293,276,173,457,421,494,527,479,501,464
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae",636,700,708,632,631,685,613,690,512,541,341,426,683,709,670,661,596,549,364,556,673,769,693,715,666,647,703,730,133,142,120,178,653,704,660,645,609,772,741,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,44,59,31,51,55,40,45,13,157,8,0,64,38,46,45,34,34,44,48,65,37,58,46,32,48,59,0,35,23,36,42,40,20,50,32,37
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured",52,58,66,60,65,91,61,53,2,120,41,26,69,51,70,47,59,66,19,26,50,51,48,60,70,82,61,81,14,15,19,16,46,55,62,77,44,41,53,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,17,15,23,15,14,21,0,0,3,0,27,22,13,8,0,0,0,8,19,13,13,15,7,14,10,9,14,14,7,14,9,25,23,0,19,4,12,170,179,186,158,155,172,163,174,237,67,353,47,191,172,175,195,70,89,124,195,162,188,174,199,171,197,187,74,93,61,182,187,200,148,128,104,161
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae",163,181,182,185,153,167,187,188,67,88,35,260,159,146,142,149,172,178,162,162,204,166,201,123,134,142,140,204,120,96,102,121,147,142,156,167,123,220,160,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,924,946,986,911,873,886,814,616,819,669,578,914,841,889,813,783,739,559,888,828,860,886,847,831,842,870,1680,1785,1738,882,873,987,673,751,787,900
