"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae",70,47,49,52,94,82,63,95,71,104,94,66,12,9,9,8,8,11,7,10,3,10,9,2,0,0
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae",5,3,6,7,7,5,2,2,9,7,17,0,4170,4148,4168,3693,4023,3749,6259,6251,5895,6022,5945,5658,5673,5179
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae",2,10,1,1,10,2,2,8,1,0,2,0,4793,5261,5262,4875,4700,4020,3733,4120,4427,4647,4415,4323,4724,3465
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae",5,4,1,11,0,7,3,3,0,4,12,3,1753,1570,1728,1660,1823,1778,1565,1428,1390,1448,1634,1620,1513,1745
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae",1,0,6,0,0,2,1,0,0,0,0,0,6043,6441,6210,5956,5762,4770,8607,8285,8939,8736,8296,7902,7398,6317
"d__Bacteria;__;__;__;__",1,8,2,2,5,0,2,8,6,2,1,2,1263,1210,1281,1188,1136,1339,1171,1073,936,1091,1064,972,1116,1135
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae",0,7,6,2,0,0,1,0,2,2,0,0,6059,5679,5644,5820,5918,5344,5774,5944,5409,5631,6077,6050,5834,5431
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae",3,9,0,3,0,0,2,2,2,4,0,4,1,4,8,1,3,3,0,2,4,14,5,0,5,2
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae",0,0,0,0,0,2,2,0,1,1,1,0,911,998,948,968,905,1043,795,862,802,813,776,785,854,766
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae",196,217,178,154,163,135,168,171,183,156,183,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
