"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__uncultured",5,1,5,5,3,4,0,7,6,7,6,0,2213,2311,2224,1949,2209,2131,3300,3419,3226,3231,3273,3066,2967,2801
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter",6,5,0,9,0,11,0,1,0,3,14,3,231,191,244,208,194,210,178,197,200,146,213,182,194,190
"d__Bacteria;__;__;__;__;__",1,8,2,2,3,0,4,6,8,7,0,2,1308,1200,1221,1175,1097,1364,1284,1071,990,1055,1044,1029,1125,1077
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__uncultured",0,0,0,0,2,0,2,0,0,0,4,0,4119,3640,3900,3437,3622,3671,4761,4414,4444,4404,4264,4153,4395,4670
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__uncultured",80,120,100,89,106,79,86,81,99,82,98,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas",2,4,0,2,7,0,0,1,0,3,1,0,595,581,578,543,561,526,378,440,448,498,507,404,496,352
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__uncultured",1,6,1,0,0,0,0,1,0,0,2,0,3139,3437,3420,3324,3118,2643,4954,4595,4736,4819,4568,4753,4110,3371
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter",0,2,0,0,6,0,0,1,5,0,6,3,1310,1250,1203,1191,1085,1491,1665,1705,1542,1571,1761,1630,1631,1738
"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__WD2101_soil_group;g__WD2101_soil_group",0,1,9,4,0,0,0,0,0,0,0,0,3214,3277,3096,3209,3005,3099,4364,4249,4108,4197,3685,3882,3432,3823
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales",12,13,6,4,11,26,17,9,6,12,11,10,210,227,227,289,187,161,277,324,274,285,256,224,187,314
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;__;__",0,2,0,3,0,0,0,0,0,0,2,0,74,91,60,62,81,45,55,69,49,30,61,50,77,89
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__",9,12,12,11,8,11,10,17,2,5,10,2,37,26,69,52,36,36,62,28,33,27,25,22,40,74
"d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio",8,0,1,2,0,0,0,6,6,5,8,0,238,185,224,291,230,270,235,185,188,171,231,186,140,185
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas",0,0,1,1,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__Tundrisphaera",0,2,3,1,0,2,1,0,0,0,0,0,259,200,195,245,219,234,341,282,423,383,306,322,268,241
"d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39",0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes",0,0,1,3,3,8,0,8,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium",19,14,19,19,25,19,38,17,33,35,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__Terrimicrobium",0,0,2,0,0,0,0,0,0,0,0,5,12,5,20,10,9,16,18,22,10,8,5,3,6,10
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus",1,0,0,0,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae;__",3,2,6,4,0,0,0,17,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__SH-PL14",0,2,1,4,0,0,0,0,0,0,0,0,74,55,81,78,53,66,84,79,53,81,69,102,71,84
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__JG30-KF-CM45",2,2,6,0,8,4,0,4,2,6,2,0,8296,8172,7959,8209,8025,7662,12269,11067,11666,11254,10490,10776,10118,9966
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured",0,4,2,0,0,0,0,5,2,0,0,0,17,6,21,21,29,20,33,18,5,18,30,27,0,24
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;__",2,1,0,1,0,0,0,0,5,10,0,3,2762,2891,2725,2666,2888,2924,2481,2593,2859,2852,2607,2850,2935,2833
"d__Bacteria;p__Chloroflexi;c__TK10;o__TK10;f__TK10;g__TK10",1,1,0,4,0,0,7,0,0,2,0,0,8598,8649,8616,8373,8364,8429,10286,10562,10747,10302,10154,10392,10404,10233
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus",2,1,2,11,0,0,0,2,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__",8,3,0,0,0,4,0,2,0,0,0,0,305,346,407,374,351,365,299,365,278,319,314,370,343,339
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;__",0,0,0,0,0,0,0,0,1,2,1,3,721,800,685,656,866,782,584,664,637,702,626,626,642,653
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Elsterales;f__uncultured;g__uncultured",0,0,1,0,0,0,0,0,0,1,5,0,5305,5543,5346,5532,5789,5843,5261,5487,5158,5014,5377,5359,5325,5530
"d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group;o__S0134_terrestrial_group;f__S0134_terrestrial_group;g__S0134_terrestrial_group",0,5,0,0,0,0,0,0,0,3,0,0,474,506,400,435,494,499,416,479,386,466,368,431,426,436
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__;__",0,0,5,0,0,0,1,1,0,3,0,0,97,80,71,90,84,73,121,111,150,123,108,95,86,110
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Skermanella",0,0,0,5,0,5,3,0,2,0,3,0,6436,6638,6600,6558,6817,7199,5870,6283,5945,5726,6196,6260,6450,6802
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium",39,31,35,32,45,43,29,23,51,25,42,37,1019,962,984,885,833,1002,863,936,912,922,944,1077,1035,918
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__",4,10,12,18,11,18,15,1,7,9,17,9,63,59,65,74,52,36,30,38,19,51,47,65,68,70
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides",20,14,14,11,10,15,30,8,15,12,9,7,1516,1594,1592,1713,1549,1168,1358,1618,1599,1617,1644,1482,1497,1332
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__uncultured;g__uncultured",4,8,5,14,10,0,7,6,10,5,3,3,34,28,17,20,12,20,15,7,14,2,17,36,17,27
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;__",0,3,0,0,5,2,3,4,3,0,0,0,996,800,859,1030,979,940,1194,1171,1256,1212,1212,1251,1326,1510
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__LWQ8;g__LWQ8",0,0,0,0,1,0,0,1,0,0,7,2,251,262,231,215,290,188,357,406,307,340,286,356,283,362
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__67-14",9,13,5,1,5,14,12,9,2,4,8,6,5464,5974,5683,5269,5187,5523,4586,4740,4977,4889,4696,5196,4949,4552
"d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96;g__KD4-96",2,8,4,6,5,8,5,7,5,8,3,5,1390,1493,1518,1551,1454,1328,1900,1902,1998,2055,2003,1858,1928,1953
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;__",157,132,118,142,93,120,95,125,113,110,98,161,505,527,483,506,601,506,438,457,447,486,411,381,493,374
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pirellula",1,1,0,1,0,0,0,7,0,2,0,0,317,231,331,288,195,237,377,378,336,393,306,287,313,388
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__",0,4,3,0,0,0,0,1,0,0,0,0,43,29,43,22,41,47,20,38,29,32,36,12,51,61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas",0,0,1,0,1,0,5,2,0,4,0,4,170,173,219,152,169,223,183,214,140,215,223,175,185,186
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group",1,2,9,1,0,0,0,0,2,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis",2,4,0,3,6,3,6,17,2,6,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;__",8,3,4,6,3,0,2,0,0,7,0,0,2813,2590,2642,2998,2820,2942,2472,2510,2343,2373,2509,2357,2730,2853
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia",0,1,1,1,0,0,0,0,0,1,0,4,12,21,24,27,12,21,10,8,20,11,12,10,30,10
"d__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__Gitt-GS-136;f__Gitt-GS-136;g__Gitt-GS-136",0,3,1,1,0,2,3,0,3,7,0,0,22,5,13,1,14,7,23,6,27,5,12,19,28,3
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter",796,734,770,812,624,585,660,676,654,630,693,665,7,13,13,29,7,10,25,4,16,18,5,11,9,16
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Craurococcus-Caldovatus",1,0,0,1,0,1,3,0,0,0,4,0,907,965,958,884,895,804,803,812,1049,914,935,905,750,780
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas",70,111,87,91,56,76,61,63,72,70,49,46,3681,3478,3729,3702,3685,3775,3512,3389,3167,3389,3232,3246,3507,3762
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter",2,1,0,1,13,0,0,3,0,4,4,0,3423,3854,3752,3414,3271,2935,2430,2785,3041,3234,3169,3098,3409,2387
"d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured;g__uncultured",0,0,2,2,0,8,5,4,4,0,0,0,5766,5647,5475,5458,5915,5781,7647,7887,7332,7176,7557,7144,7671,7533
"d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacteraceae",3,4,2,4,10,5,0,2,1,0,9,0,4502,4107,4288,4367,4550,4558,5989,5679,5629,5383,5639,5536,5094,5558
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;__",3,0,0,2,0,0,1,2,1,1,5,2,3204,3262,3472,3278,3451,3495,2477,2525,2161,2553,2625,2430,2711,2579
