"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Firmicutes",17982,18288,17907,17914,15563,15316,14661,14256,14767,14756,14307,14825,6483,6319,6283,6454,6124,7563,5186,5259,5068,5028,5197,5068,5510,5714
"d__Bacteria;p__Planctomycetota",19,14,18,20,8,16,15,9,18,8,18,5,15057,15533,14945,14450,14125,13072,21445,21218,21166,20931,19866,19747,18382,17546
"d__Bacteria;p__Actinobacteriota",21474,21339,21466,21716,23577,24065,24733,25051,24363,24785,25191,24956,84641,85903,87297,85763,85152,80541,76810,80449,79486,79704,81641,81312,79989,75384
"d__Bacteria;p__Myxococcota",9,3,9,1,3,2,6,2,7,2,1,2,7904,7941,8034,8123,7840,8191,7088,6665,6964,7070,6785,6977,7544,7420
"d__Bacteria;p__Proteobacteria",3287,3358,3445,3410,2715,2722,3055,2925,2993,2820,3160,2836,80460,81133,78914,81861,83405,84090,72732,73769,73332,74264,75113,74343,76581,77784
"d__Bacteria;p__Bacteroidota",6192,5936,6050,5844,6605,6443,6098,6381,6422,6154,5920,5982,16320,15798,16645,15828,16093,17285,12939,12686,12412,13216,13002,12887,13139,14102
"d__Bacteria;__",1,8,3,3,2,0,3,9,2,3,0,2,1307,1198,1274,1170,1079,1355,1222,1103,948,1096,1117,988,1156,1153
"d__Bacteria;p__Verrucomicrobiota",147,100,148,120,317,302,300,258,265,300,299,237,3314,3236,3352,3143,3034,3677,3502,3563,3223,3435,3646,3517,3457,3429
"d__Bacteria;p__Chloroflexi",8,9,23,12,19,16,18,14,13,24,14,10,28317,27301,27995,27228,27457,26993,36818,35178,36110,35104,33734,34362,33696,34479
"d__Bacteria;p__Gemmatimonadota",9,4,1,1,0,0,1,3,1,7,3,0,15058,16553,15529,15765,15644,15838,15093,15113,15506,15381,15194,15780,15520,15059
