"sample_name","sample_ID","Exp","Type","file_name","Rpl","Primer","primer_label","Group","Forward_Primer","Reverse_Primer","cName","QIIME_reads"
"D4_Feces_515F_806R_01","D4_Fecal_StandardO_01","D4","Feces","D4_Feces_Full_01.fastq","01","StandardO","St","Pool","515F","806R","D4_Feces_St",1153477
"D4_Feces_515F_806R_02","D4_Fecal_StandardO_02","D4","Feces","D4_Feces_Full_02.fastq","02","StandardO","St","Pool","515F","806R","D4_Feces_St",1274211
"D4_Feces_515F_806R_03","D4_Fecal_StandardO_03","D4","Feces","D4_Feces_Full_03.fastq","03","StandardO","St","Pool","515F","806R","D4_Feces_St",1416124
"D4_Feces_515F_806R_04","D4_Fecal_StandardO_04","D4","Feces","D4_Feces_Full_04.fastq","04","StandardO","St","Pool","515F","806R","D4_Feces_St",1486096
"D4_Feces_tr515F_806R_01","D4_Fecal_TruncatedFO_01","D4","Feces","D4_Feces_Pool_01.fastq","01","TruncatedFO","Tr","Pool","tr515F","806R","D4_Feces_Tr",798772
"D4_Feces_tr515F_806R_02","D4_Fecal_TruncatedFO_02","D4","Feces","D4_Feces_Pool_02.fastq","02","TruncatedFO","Tr","Pool","tr515F","806R","D4_Feces_Tr",1093366
"D4_Feces_tr515F_806R_03","D4_Fecal_TruncatedFO_03","D4","Feces","D4_Feces_Pool_03.fastq","03","TruncatedFO","Tr","Pool","tr515F","806R","D4_Feces_Tr",1085217
"D4_Feces_tr515F_806R_04","D4_Fecal_TruncatedFO_04","D4","Feces","D4_Feces_Pool_04.fastq","04","TruncatedFO","Tr","Pool","tr515F","806R","D4_Feces_Tr",1138264
"D4_Feces_V1-tr515F_806R_01","D4_Fecal_V1.2-12.CC_01","D4","Feces","D4_Feces_CC_2_12_01.fastq","01","V1.2-12.CC","V1","Ind","V1-tr515F","806R","D4_Feces_V1",225907
"D4_Feces_V1-tr515F_806R_02","D4_Fecal_V1.2-12.CC_02","D4","Feces","D4_Feces_CC_2_12_02.fastq","02","V1.2-12.CC","V1","Ind","V1-tr515F","806R","D4_Feces_V1",313586
"D4_Feces_V1-tr515F_806R_03","D4_Fecal_V1.2-12.CC_03","D4","Feces","D4_Feces_CC_2_12_03.fastq","03","V1.2-12.CC","V1","Ind","V1-tr515F","806R","D4_Feces_V1",375117
"D4_Feces_V1-tr515F_806R_04","D4_Fecal_V1.2-12.CC_04","D4","Feces","D4_Feces_CC_2_12_04.fastq","04","V1.2-12.CC","V1","Ind","V1-tr515F","806R","D4_Feces_V1",317495
"D4_Feces_V2-tr515F_806R_01","D4_Fecal_V2.2-13.CA_01","D4","Feces","D4_Feces_CA_2_13_01.fastq","01","V2.2-13.CA","V2","Ind","V2-tr515F","806R","D4_Feces_V2",249370
"D4_Feces_V2-tr515F_806R_02","D4_Fecal_V2.2-13.CA_02","D4","Feces","D4_Feces_CA_2_13_02.fastq","02","V2.2-13.CA","V2","Ind","V2-tr515F","806R","D4_Feces_V2",369331
"D4_Feces_V2-tr515F_806R_03","D4_Fecal_V2.2-13.CA_03","D4","Feces","D4_Feces_CA_2_13_03.fastq","03","V2.2-13.CA","V2","Ind","V2-tr515F","806R","D4_Feces_V2",359888
"D4_Feces_V2-tr515F_806R_04","D4_Fecal_V2.2-13.CA_04","D4","Feces","D4_Feces_CA_2_13_04.fastq","04","V2.2-13.CA","V2","Ind","V2-tr515F","806R","D4_Feces_V2",376017
"D4_Feces_V3-tr515F_806R_01","D4_Fecal_V3.3-14.TC_01","D4","Feces","D4_Feces_TC_3_14_01.fastq","01","V3.3-14.TC","V3","Ind","V3-tr515F","806R","D4_Feces_V3",220683
"D4_Feces_V3-tr515F_806R_02","D4_Fecal_V3.3-14.TC_02","D4","Feces","D4_Feces_TC_3_14_02.fastq","02","V3.3-14.TC","V3","Ind","V3-tr515F","806R","D4_Feces_V3",261082
"D4_Feces_V3-tr515F_806R_03","D4_Fecal_V3.3-14.TC_03","D4","Feces","D4_Feces_TC_3_14_03.fastq","03","V3.3-14.TC","V3","Ind","V3-tr515F","806R","D4_Feces_V3",321249
"D4_Feces_V3-tr515F_806R_04","D4_Fecal_V3.3-14.TC_04","D4","Feces","D4_Feces_TC_3_14_04.fastq","04","V3.3-14.TC","V3","Ind","V3-tr515F","806R","D4_Feces_V3",326129
"D4_Feces_V4-tr515F_806R_01","D4_Fecal_V4.4-15.TA_01","D4","Feces","D4_Feces_TA_4_15_01.fastq","01","V4.4-15.TA","V4","Ind","V4-tr515F","806R","D4_Feces_V4",253011
"D4_Feces_V4-tr515F_806R_02","D4_Fecal_V4.4-15.TA_02","D4","Feces","D4_Feces_TA_4_15_02.fastq","02","V4.4-15.TA","V4","Ind","V4-tr515F","806R","D4_Feces_V4",306616
"D4_Feces_V4-tr515F_806R_03","D4_Fecal_V4.4-15.TA_03","D4","Feces","D4_Feces_TA_4_15_03.fastq","03","V4.4-15.TA","V4","Ind","V4-tr515F","806R","D4_Feces_V4",291227
"D4_Feces_V4-tr515F_806R_04","D4_Fecal_V4.4-15.TA_04","D4","Feces","D4_Feces_TA_4_15_04.fastq","04","V4.4-15.TA","V4","Ind","V4-tr515F","806R","D4_Feces_V4",185982
"D4_Feces_V5-tr515F_806R_01","D4_Fecal_V5.5-16.xA_01","D4","Feces","D4_Feces_A_5_16_01.fastq","01","V5.5-16.xA","V5","Ind","V5-tr515F","806R","D4_Feces_V5",154423
"D4_Feces_V5-tr515F_806R_02","D4_Fecal_V5.5-16.xA_02","D4","Feces","D4_Feces_A_5_16_02.fastq","02","V5.5-16.xA","V5","Ind","V5-tr515F","806R","D4_Feces_V5",289574
"D4_Feces_V5-tr515F_806R_03","D4_Fecal_V5.5-16.xA_03","D4","Feces","D4_Feces_A_5_16_03.fastq","03","V5.5-16.xA","V5","Ind","V5-tr515F","806R","D4_Feces_V5",252335
"D4_Feces_V5-tr515F_806R_04","D4_Fecal_V5.5-16.xA_04","D4","Feces","D4_Feces_A_5_16_04.fastq","04","V5.5-16.xA","V5","Ind","V5-tr515F","806R","D4_Feces_V5",279623
"D4_Feces_V6-tr515F_806R_01","D4_Fecal_V6.6-15.xC_01","D4","Feces","D4_Feces_C_6_15_01.fastq","01","V6.6-15.xC","V6","Ind","V6-tr515F","806R","D4_Feces_V6",272098
"D4_Feces_V6-tr515F_806R_02","D4_Fecal_V6.6-15.xC_02","D4","Feces","D4_Feces_C_6_15_02.fastq","02","V6.6-15.xC","V6","Ind","V6-tr515F","806R","D4_Feces_V6",288055
"D4_Feces_V6-tr515F_806R_03","D4_Fecal_V6.6-15.xC_03","D4","Feces","D4_Feces_C_6_15_03.fastq","03","V6.6-15.xC","V6","Ind","V6-tr515F","806R","D4_Feces_V6",329706
"D4_Feces_V6-tr515F_806R_04","D4_Fecal_V6.6-15.xC_04","D4","Feces","D4_Feces_C_6_15_04.fastq","04","V6.6-15.xC","V6","Ind","V6-tr515F","806R","D4_Feces_V6",265440
"D4_Feces_V7-tr515F_806R_01","D4_Fecal_V7.7-17.xA_01","D4","Feces","D4_Feces_A_7_17_01.fastq","01","V7.7-17.xA","V7","Ind","V7-tr515F","806R","D4_Feces_V7",174783
"D4_Feces_V7-tr515F_806R_02","D4_Fecal_V7.7-17.xA_02","D4","Feces","D4_Feces_A_7_17_02.fastq","02","V7.7-17.xA","V7","Ind","V7-tr515F","806R","D4_Feces_V7",194385
"D4_Feces_V7-tr515F_806R_03","D4_Fecal_V7.7-17.xA_03","D4","Feces","D4_Feces_A_7_17_03.fastq","03","V7.7-17.xA","V7","Ind","V7-tr515F","806R","D4_Feces_V7",269397
"D4_Feces_V7-tr515F_806R_04","D4_Fecal_V7.7-17.xA_04","D4","Feces","D4_Feces_A_7_17_04.fastq","04","V7.7-17.xA","V7","Ind","V7-tr515F","806R","D4_Feces_V7",248719
"D4_Feces_V8-tr515F_806R_01","D4_Fecal_V8.8-17.xC_01","D4","Feces","D4_Feces_C_8_17_01.fastq","01","V8.8-17.xC","V8","Ind","V8-tr515F","806R","D4_Feces_V8",203781
"D4_Feces_V8-tr515F_806R_02","D4_Fecal_V8.8-17.xC_02","D4","Feces","D4_Feces_C_8_17_02.fastq","02","V8.8-17.xC","V8","Ind","V8-tr515F","806R","D4_Feces_V8",172230
"D4_Feces_V8-tr515F_806R_03","D4_Fecal_V8.8-17.xC_03","D4","Feces","D4_Feces_C_8_17_03.fastq","03","V8.8-17.xC","V8","Ind","V8-tr515F","806R","D4_Feces_V8",241003
"D4_Feces_V8-tr515F_806R_04","D4_Fecal_V8.8-17.xC_04","D4","Feces","D4_Feces_C_8_17_04.fastq","04","V8.8-17.xC","V8","Ind","V8-tr515F","806R","D4_Feces_V8",230725
"D5_Wastewater_515F_806R_01","D5_Water_StandardO_01","D5","Wastewater","D5_Wastewater_Full_01.fastq","01","StandardO","St","Pool","515F","806R","D5_Wastewater_St",1607643
"D5_Wastewater_515F_806R_02","D5_Water_StandardO_02","D5","Wastewater","D5_Wastewater_Full_02.fastq","02","StandardO","St","Pool","515F","806R","D5_Wastewater_St",1349905
"D5_Wastewater_515F_806R_03","D5_Water_StandardO_03","D5","Wastewater","D5_Wastewater_Full_03.fastq","03","StandardO","St","Pool","515F","806R","D5_Wastewater_St",833417
"D5_Wastewater_515F_806R_04","D5_Water_StandardO_04","D5","Wastewater","D5_Wastewater_Full_04.fastq","04","StandardO","St","Pool","515F","806R","D5_Wastewater_St",948739
"D5_Wastewater_tr515F_806R_01","D5_Water_TruncatedFO_01","D5","Wastewater","D5_Wastewater_Pool_01.fastq","01","TruncatedFO","Tr","Pool","tr515F","806R","D5_Wastewater_Tr",1446866
"D5_Wastewater_tr515F_806R_02","D5_Water_TruncatedFO_02","D5","Wastewater","D5_Wastewater_Pool_02.fastq","02","TruncatedFO","Tr","Pool","tr515F","806R","D5_Wastewater_Tr",1477849
"D5_Wastewater_tr515F_806R_03","D5_Water_TruncatedFO_03","D5","Wastewater","D5_Wastewater_Pool_03.fastq","03","TruncatedFO","Tr","Pool","tr515F","806R","D5_Wastewater_Tr",1342402
"D5_Wastewater_tr515F_806R_04","D5_Water_TruncatedFO_04","D5","Wastewater","D5_Wastewater_Pool_04.fastq","04","TruncatedFO","Tr","Pool","tr515F","806R","D5_Wastewater_Tr",1185211
"D5_Wastewater_V1-tr515F_806R_01","D5_Water_V1.2-12.CC_01","D5","Wastewater","D5_Wastewater_CC_2_12_01.fastq","01","V1.2-12.CC","V1","Ind","V1-tr515F","806R","D5_Wastewater_V1",241572
"D5_Wastewater_V1-tr515F_806R_02","D5_Water_V1.2-12.CC_02","D5","Wastewater","D5_Wastewater_CC_2_12_02.fastq","02","V1.2-12.CC","V1","Ind","V1-tr515F","806R","D5_Wastewater_V1",336776
"D5_Wastewater_V1-tr515F_806R_03","D5_Water_V1.2-12.CC_03","D5","Wastewater","D5_Wastewater_CC_2_12_03.fastq","03","V1.2-12.CC","V1","Ind","V1-tr515F","806R","D5_Wastewater_V1",290103
"D5_Wastewater_V1-tr515F_806R_04","D5_Water_V1.2-12.CC_04","D5","Wastewater","D5_Wastewater_CC_2_12_04.fastq","04","V1.2-12.CC","V1","Ind","V1-tr515F","806R","D5_Wastewater_V1",244348
"D5_Wastewater_V2-tr515F_806R_01","D5_Water_V2.2-13.CA_01","D5","Wastewater","D5_Wastewater_CA_2_13_01.fastq","01","V2.2-13.CA","V2","Ind","V2-tr515F","806R","D5_Wastewater_V2",291100
"D5_Wastewater_V2-tr515F_806R_02","D5_Water_V2.2-13.CA_02","D5","Wastewater","D5_Wastewater_CA_2_13_02.fastq","02","V2.2-13.CA","V2","Ind","V2-tr515F","806R","D5_Wastewater_V2",259663
"D5_Wastewater_V2-tr515F_806R_03","D5_Water_V2.2-13.CA_03","D5","Wastewater","D5_Wastewater_CA_2_13_03.fastq","03","V2.2-13.CA","V2","Ind","V2-tr515F","806R","D5_Wastewater_V2",283033
"D5_Wastewater_V2-tr515F_806R_04","D5_Water_V2.2-13.CA_04","D5","Wastewater","D5_Wastewater_CA_2_13_04.fastq","04","V2.2-13.CA","V2","Ind","V2-tr515F","806R","D5_Wastewater_V2",218239
"D5_Wastewater_V3-tr515F_806R_01","D5_Water_V3.3-14.TC_01","D5","Wastewater","D5_Wastewater_TC_3_14_01.fastq","01","V3.3-14.TC","V3","Ind","V3-tr515F","806R","D5_Wastewater_V3",119412
"D5_Wastewater_V3-tr515F_806R_02","D5_Water_V3.3-14.TC_02","D5","Wastewater","D5_Wastewater_TC_3_14_02.fastq","02","V3.3-14.TC","V3","Ind","V3-tr515F","806R","D5_Wastewater_V3",273267
"D5_Wastewater_V3-tr515F_806R_03","D5_Water_V3.3-14.TC_03","D5","Wastewater","D5_Wastewater_TC_3_14_03.fastq","03","V3.3-14.TC","V3","Ind","V3-tr515F","806R","D5_Wastewater_V3",32400
"D5_Wastewater_V3-tr515F_806R_04","D5_Water_V3.3-14.TC_04","D5","Wastewater","D5_Wastewater_TC_3_14_04.fastq","04","V3.3-14.TC","V3","Ind","V3-tr515F","806R","D5_Wastewater_V3",249760
"D5_Wastewater_V4-tr515F_806R_01","D5_Water_V4.4-15.TA_01","D5","Wastewater","D5_Wastewater_TA_4_15_01.fastq","01","V4.4-15.TA","V4","Ind","V4-tr515F","806R","D5_Wastewater_V4",141015
"D5_Wastewater_V4-tr515F_806R_02","D5_Water_V4.4-15.TA_02","D5","Wastewater","D5_Wastewater_TA_4_15_02.fastq","02","V4.4-15.TA","V4","Ind","V4-tr515F","806R","D5_Wastewater_V4",190443
"D5_Wastewater_V4-tr515F_806R_03","D5_Water_V4.4-15.TA_03","D5","Wastewater","D5_Wastewater_TA_4_15_03.fastq","03","V4.4-15.TA","V4","Ind","V4-tr515F","806R","D5_Wastewater_V4",230009
"D5_Wastewater_V4-tr515F_806R_04","D5_Water_V4.4-15.TA_04","D5","Wastewater","D5_Wastewater_TA_4_15_04.fastq","04","V4.4-15.TA","V4","Ind","V4-tr515F","806R","D5_Wastewater_V4",209141
"D5_Wastewater_V5-tr515F_806R_01","D5_Water_V5.5-16.xA_01","D5","Wastewater","D5_Wastewater_A_5_16_01.fastq","01","V5.5-16.xA","V5","Ind","V5-tr515F","806R","D5_Wastewater_V5",127411
"D5_Wastewater_V5-tr515F_806R_02","D5_Water_V5.5-16.xA_02","D5","Wastewater","D5_Wastewater_A_5_16_02.fastq","02","V5.5-16.xA","V5","Ind","V5-tr515F","806R","D5_Wastewater_V5",179704
"D5_Wastewater_V5-tr515F_806R_03","D5_Water_V5.5-16.xA_03","D5","Wastewater","D5_Wastewater_A_5_16_03.fastq","03","V5.5-16.xA","V5","Ind","V5-tr515F","806R","D5_Wastewater_V5",177931
"D5_Wastewater_V5-tr515F_806R_04","D5_Water_V5.5-16.xA_04","D5","Wastewater","D5_Wastewater_A_5_16_04.fastq","04","V5.5-16.xA","V5","Ind","V5-tr515F","806R","D5_Wastewater_V5",185780
"D5_Wastewater_V6-tr515F_806R_01","D5_Water_V6.6-15.xC_01","D5","Wastewater","D5_Wastewater_C_6_15_01.fastq","01","V6.6-15.xC","V6","Ind","V6-tr515F","806R","D5_Wastewater_V6",78845
"D5_Wastewater_V6-tr515F_806R_02","D5_Water_V6.6-15.xC_02","D5","Wastewater","D5_Wastewater_C_6_15_02.fastq","02","V6.6-15.xC","V6","Ind","V6-tr515F","806R","D5_Wastewater_V6",238852
"D5_Wastewater_V6-tr515F_806R_03","D5_Water_V6.6-15.xC_03","D5","Wastewater","D5_Wastewater_C_6_15_03.fastq","03","V6.6-15.xC","V6","Ind","V6-tr515F","806R","D5_Wastewater_V6",290620
"D5_Wastewater_V6-tr515F_806R_04","D5_Water_V6.6-15.xC_04","D5","Wastewater","D5_Wastewater_C_6_15_04.fastq","04","V6.6-15.xC","V6","Ind","V6-tr515F","806R","D5_Wastewater_V6",276754
"D5_Wastewater_V7-tr515F_806R_01","D5_Water_V7.7-17.xA_01","D5","Wastewater","D5_Wastewater_A_7_17_01.fastq","01","V7.7-17.xA","V7","Ind","V7-tr515F","806R","D5_Wastewater_V7",178884
"D5_Wastewater_V7-tr515F_806R_02","D5_Water_V7.7-17.xA_02","D5","Wastewater","D5_Wastewater_A_7_17_02.fastq","02","V7.7-17.xA","V7","Ind","V7-tr515F","806R","D5_Wastewater_V7",228922
"D5_Wastewater_V7-tr515F_806R_03","D5_Water_V7.7-17.xA_03","D5","Wastewater","D5_Wastewater_A_7_17_03.fastq","03","V7.7-17.xA","V7","Ind","V7-tr515F","806R","D5_Wastewater_V7",188399
"D5_Wastewater_V7-tr515F_806R_04","D5_Water_V7.7-17.xA_04","D5","Wastewater","D5_Wastewater_A_7_17_04.fastq","04","V7.7-17.xA","V7","Ind","V7-tr515F","806R","D5_Wastewater_V7",145
"D5_Wastewater_V8-tr515F_806R_01","D5_Water_V8.8-17.xC_01","D5","Wastewater","D5_Wastewater_C_8_17_01.fastq","01","V8.8-17.xC","V8","Ind","V8-tr515F","806R","D5_Wastewater_V8",254982
