"","D4_Feces_515F_806R_01","D4_Feces_515F_806R_02","D4_Feces_515F_806R_03","D4_Feces_515F_806R_04","D4_Feces_tr515F_806R_01","D4_Feces_tr515F_806R_02","D4_Feces_tr515F_806R_03","D4_Feces_tr515F_806R_04","D4_Feces_V1-tr515F_806R_01","D4_Feces_V1-tr515F_806R_02","D4_Feces_V1-tr515F_806R_03","D4_Feces_V1-tr515F_806R_04","D4_Feces_V2-tr515F_806R_01","D4_Feces_V2-tr515F_806R_02","D4_Feces_V2-tr515F_806R_03","D4_Feces_V2-tr515F_806R_04","D4_Feces_V3-tr515F_806R_01","D4_Feces_V3-tr515F_806R_02","D4_Feces_V3-tr515F_806R_03","D4_Feces_V3-tr515F_806R_04","D4_Feces_V4-tr515F_806R_01","D4_Feces_V4-tr515F_806R_02","D4_Feces_V4-tr515F_806R_03","D4_Feces_V4-tr515F_806R_04","D4_Feces_V5-tr515F_806R_01","D4_Feces_V5-tr515F_806R_02","D4_Feces_V5-tr515F_806R_03","D4_Feces_V5-tr515F_806R_04","D4_Feces_V6-tr515F_806R_01","D4_Feces_V6-tr515F_806R_02","D4_Feces_V6-tr515F_806R_03","D4_Feces_V6-tr515F_806R_04","D4_Feces_V7-tr515F_806R_01","D4_Feces_V7-tr515F_806R_02","D4_Feces_V7-tr515F_806R_03","D4_Feces_V7-tr515F_806R_04","D4_Feces_V8-tr515F_806R_01","D4_Feces_V8-tr515F_806R_02","D4_Feces_V8-tr515F_806R_03","D4_Feces_V8-tr515F_806R_04","D5_Wastewater_515F_806R_01","D5_Wastewater_515F_806R_02","D5_Wastewater_515F_806R_03","D5_Wastewater_515F_806R_04","D5_Wastewater_tr515F_806R_01","D5_Wastewater_tr515F_806R_02","D5_Wastewater_tr515F_806R_03","D5_Wastewater_tr515F_806R_04","D5_Wastewater_V1-tr515F_806R_01","D5_Wastewater_V1-tr515F_806R_02","D5_Wastewater_V1-tr515F_806R_03","D5_Wastewater_V1-tr515F_806R_04","D5_Wastewater_V2-tr515F_806R_01","D5_Wastewater_V2-tr515F_806R_02","D5_Wastewater_V2-tr515F_806R_03","D5_Wastewater_V2-tr515F_806R_04","D5_Wastewater_V3-tr515F_806R_01","D5_Wastewater_V3-tr515F_806R_02","D5_Wastewater_V3-tr515F_806R_03","D5_Wastewater_V3-tr515F_806R_04","D5_Wastewater_V4-tr515F_806R_01","D5_Wastewater_V4-tr515F_806R_02","D5_Wastewater_V4-tr515F_806R_03","D5_Wastewater_V4-tr515F_806R_04","D5_Wastewater_V5-tr515F_806R_01","D5_Wastewater_V5-tr515F_806R_02","D5_Wastewater_V5-tr515F_806R_03","D5_Wastewater_V5-tr515F_806R_04","D5_Wastewater_V6-tr515F_806R_01","D5_Wastewater_V6-tr515F_806R_02","D5_Wastewater_V6-tr515F_806R_03","D5_Wastewater_V6-tr515F_806R_04","D5_Wastewater_V7-tr515F_806R_01","D5_Wastewater_V7-tr515F_806R_02","D5_Wastewater_V7-tr515F_806R_03","D5_Wastewater_V7-tr515F_806R_04","D5_Wastewater_V8-tr515F_806R_01","D5_Wastewater_V8-tr515F_806R_02","D5_Wastewater_V8-tr515F_806R_03","D5_Wastewater_V8-tr515F_806R_04","D6_Skin_515F_806R_01","D6_Skin_515F_806R_02","D6_Skin_515F_806R_03","D6_Skin_515F_806R_04","D6_Skin_tr515F_806R_01","D6_Skin_tr515F_806R_02","D6_Skin_tr515F_806R_03","D6_Skin_tr515F_806R_04","D6_Skin_V1-tr515F_806R_01","D6_Skin_V1-tr515F_806R_02","D6_Skin_V1-tr515F_806R_03","D6_Skin_V1-tr515F_806R_04","D6_Skin_V2-tr515F_806R_01","D6_Skin_V2-tr515F_806R_02","D6_Skin_V2-tr515F_806R_03","D6_Skin_V2-tr515F_806R_04","D6_Skin_V3-tr515F_806R_01","D6_Skin_V3-tr515F_806R_02","D6_Skin_V3-tr515F_806R_03","D6_Skin_V3-tr515F_806R_04","D6_Skin_V4-tr515F_806R_01","D6_Skin_V4-tr515F_806R_02","D6_Skin_V4-tr515F_806R_03","D6_Skin_V4-tr515F_806R_04","D6_Skin_V5-tr515F_806R_01","D6_Skin_V5-tr515F_806R_02","D6_Skin_V5-tr515F_806R_03","D6_Skin_V5-tr515F_806R_04","D6_Skin_V6-tr515F_806R_01","D6_Skin_V6-tr515F_806R_02","D6_Skin_V6-tr515F_806R_03","D6_Skin_V6-tr515F_806R_04","D6_Skin_V7-tr515F_806R_01","D6_Skin_V7-tr515F_806R_02","D6_Skin_V7-tr515F_806R_03","D6_Skin_V7-tr515F_806R_04","D6_Skin_V8-tr515F_806R_01","D6_Skin_V8-tr515F_806R_02","D6_Skin_V8-tr515F_806R_03","D6_Skin_V8-tr515F_806R_04","D7_Soil_515F_806R_01","D7_Soil_515F_806R_02","D7_Soil_515F_806R_03","D7_Soil_515F_806R_04","D7_Soil_tr515F_806R_01","D7_Soil_tr515F_806R_02","D7_Soil_tr515F_806R_03","D7_Soil_tr515F_806R_04","D7_Soil_V1-tr515F_806R_01","D7_Soil_V1-tr515F_806R_02","D7_Soil_V1-tr515F_806R_03","D7_Soil_V1-tr515F_806R_04","D7_Soil_V2-tr515F_806R_01","D7_Soil_V2-tr515F_806R_02","D7_Soil_V2-tr515F_806R_03","D7_Soil_V2-tr515F_806R_04","D7_Soil_V3-tr515F_806R_01","D7_Soil_V3-tr515F_806R_02","D7_Soil_V3-tr515F_806R_03","D7_Soil_V3-tr515F_806R_04","D7_Soil_V4-tr515F_806R_01","D7_Soil_V4-tr515F_806R_02","D7_Soil_V4-tr515F_806R_03","D7_Soil_V4-tr515F_806R_04","D7_Soil_V5-tr515F_806R_01","D7_Soil_V5-tr515F_806R_02","D7_Soil_V5-tr515F_806R_03","D7_Soil_V5-tr515F_806R_04","D7_Soil_V6-tr515F_806R_01","D7_Soil_V6-tr515F_806R_02","D7_Soil_V6-tr515F_806R_03","D7_Soil_V6-tr515F_806R_04","D7_Soil_V7-tr515F_806R_01","D7_Soil_V7-tr515F_806R_02","D7_Soil_V7-tr515F_806R_03","D7_Soil_V7-tr515F_806R_04","D7_Soil_V8-tr515F_806R_01","D7_Soil_V8-tr515F_806R_02","D7_Soil_V8-tr515F_806R_03","D7_Soil_V8-tr515F_806R_04","E1_Neg_515F_806R_01","E1_Neg_tr515F_tr515R_01","E1_Neg_tr515F_806R_01","E1_Neg_515F_tr515R_01","E1_Skin_515F_806R_02","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E1_Skin_tr515F_806R_01","E1_Skin_tr515F_806R_03","E1_Skin_tr515F_806R_06","E1_Skin_tr515F_806R_07","E1_Skin_tr515F_806R_08","E1_Skin_515F_tr515R_01","E1_Skin_515F_tr515R_02","E1_Skin_515F_tr515R_03","E1_Skin_515F_tr515R_04","E2_Neg_515F_806R_02","E2_Neg_tr515F_tr515R_02","E2_Neg_tr515F_806R_02","E2_Neg_515F_tr515R_02","E2_Soil_515F_806R_01","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08","E2_Soil_tr515F_806R_01","E2_Soil_tr515F_806R_02","E2_Soil_tr515F_806R_03","E2_Soil_tr515F_806R_04","E2_Soil_tr515F_806R_05","E2_Soil_tr515F_806R_06","E2_Soil_tr515F_806R_07","E2_Soil_tr515F_806R_08","E2_Soil_515F_tr515R_01","E2_Soil_515F_tr515R_02","E2_Soil_515F_tr515R_03","E2_Soil_515F_tr515R_04","E2_Soil_515F_tr515R_05","E2_Soil_515F_tr515R_06","E2_Soil_515F_tr515R_07","E2_Soil_515F_tr515R_08"
"d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,15,0,19,32,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,8,12,19,13,0,0,9,0,0,0,0,0,7,0,0,0,0,4,0,0,26,0,0,0,24,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae",57517,62687,69585,74259,38348,52872,52906,55953,11385,14483,15635,13203,12347,18579,17559,18335,9531,10993,14436,12792,13105,15844,14726,9372,7414,14133,12505,13752,4933,5412,6128,4759,8784,9432,13363,12463,9448,8159,11045,10299,126568,110592,64818,74195,126682,128561,117086,103285,13535,21351,20342,14166,23884,21041,23104,17857,8976,21799,2545,19857,11795,15552,19322,17970,11301,15500,15489,15974,6899,22277,25870,24855,15573,20617,16931,16,20044,27278,21561,31977,0,7,0,26,0,44,4,0,0,0,0,0,0,12,2,0,0,0,0,0,3,0,5,4,0,0,7,0,0,0,14,0,5,3,4,0,4,0,21,21,25,30,28,81,21,73,47,34,0,0,0,0,4,4,15,10,0,0,22,28,3,0,5,0,0,9,2,6,0,0,0,0,4,28,13,11,8,6,0,0,0,0,0,0,0,1129,741,840,1357,136,117,420,437,462,727,1422,68,0,341,1487,538,1643,0,1048,363,152,0,0,0,0,0,60,28,28,37,34,168,31,23,6,18,25,8,0,0,0,10,5,8,9,12,15,10,50,24,9,61,59,51,14,30
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,0,0,28,0,25,0,0,0,2,3,7,11,3,0,0,0,0,0,0,0,3,0,0,10,0,0,12,0,0,3,2,0,0,0,0,0,4,7,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,24028,25931,24043,20146,24329,28624,24689,18880,3934,5435,7693,9953,4957,8753,7528,7288,1765,2112,2324,2266,4486,5036,5881,6,4381,5473,5806,5413,2384,2784,2440,2567,5371,5330,7430,4576,3891,4892,4254,4326,0,0,0,0,0,110,40,70,114,12,11,10,19,50,52,139,0,0,29,14,13,43,0,55,13,10,0,0,0,0,0,29681,27593,22755,29655,24266,51445,21429,15330,10420,19496,21330,14046,6388,9937,5032,7479,5447,7442,4352,6398,6827,9705,28424,30782,35441,33979,35967,29938,34081,26877
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27246,38147,38962,30712,7750,17292,23161,24754,1935,2627,3405,3553,5000,7731,6394,5930,819,1409,1406,1591,5496,6207,6859,33,3214,4601,6235,6377,1114,1677,1547,1881,3781,5638,10045,7219,3679,5092,4330,3729,0,0,0,0,0,41,72,14,49,13,2,13,20,5,26,36,0,0,19,115,11,11,0,55,6,9,0,0,0,0,0,34522,35340,29579,39618,28464,56109,12785,10211,7855,15015,15948,11022,5345,6515,4758,7755,6554,9235,5836,8707,7973,10357,19512,25037,31894,33561,40478,32531,40887,24264
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,48,17,64,78,57,0,34,0,0,0,0,3,0,7,6,0,0,0,40,15,0,12,6,2,2,7,3,0,0,0,26,7,0,2,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11247,12934,11140,9874,7136,8904,7713,6673,1118,880,1194,1134,1785,2620,2380,2426,384,409,319,315,1559,1662,1951,9,1542,1938,2146,1925,2973,4157,3765,3745,1844,1828,2697,1861,1269,1727,1447,1503,0,0,0,0,0,45,0,0,65,0,0,0,0,0,0,10,0,0,0,12,0,148,0,8,0,0,0,0,0,0,0,11274,10203,8058,12551,7949,22456,4754,3206,2454,4990,5205,3485,1658,2732,1751,2592,2216,2417,1643,2508,2296,3608,7957,8207,10391,9187,11150,9133,11631,9452
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Labraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,52,26,27,12,133,96,69,0,0,6,0,5,5,0,0,0,0,0,0,0,0,8,0,4,6,10,0,0,0,0,32,4,7,11,0,31,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,2191,1551,1578,833,1398,1673,1219,34,146,228,186,249,314,389,400,68,38,58,50,254,262,351,0,236,316,350,332,160,94,171,260,307,253,457,314,143,203,143,158,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735,1898,1487,1877,1227,3290,853,618,475,763,1086,610,274,451,286,504,309,525,295,427,493,691,1315,1399,1774,1614,2234,1530,1990,1365
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,3,0,0,0,0,0,0,0,0,0,9,3,0,12,12809,15082,12873,12119,9068,10175,9440,7632,932,611,932,791,2023,3123,3106,3118,624,391,640,533,1659,2017,2378,0,2232,2468,2489,2041,389,515,553,591,2311,2217,2761,1957,2334,2456,2537,2745,0,0,0,0,0,123,49,8,221,0,18,15,12,0,19,196,3,0,43,114,62,174,0,36,15,22,0,0,0,0,0,12229,10891,9676,13299,10914,25102,5194,3542,2436,4846,5707,3993,1694,3349,2221,2734,2097,2728,1623,2578,2570,4298,8903,9013,9540,8932,10166,7986,10795,9127
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,18,10,25,19,19,10,15,0,4,0,4,3,4,0,0,0,0,0,0,2,3,4,0,6,6,0,6,25,0,0,11,5,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,6,2,0,0,28150,34476,33160,27991,15288,29515,32278,27469,5056,7344,10741,10499,7317,11825,10365,8665,1927,2693,3509,3811,7378,8222,9148,5,4981,7778,8859,8421,3529,4621,3758,3934,6103,8070,12166,8011,5159,6821,6261,4944,0,0,0,0,0,35,40,53,19,0,3,6,3,0,0,32,0,0,6,0,5,34,0,47,0,2,0,0,0,0,0,43316,42463,33680,47071,34176,67200,29543,20605,15814,28469,29595,19829,8306,12145,6267,9745,7862,10378,6607,8899,9152,12253,35442,43567,53048,51288,51625,42507,45125,35828
"d__Bacteria;__;__;__;__",43,44,20,31,34,36,52,36,30,19,108,333,42,70,83,102,90,62,100,52,6,0,0,0,6,29,7,22,54,39,34,39,25,6,10,47,11,0,5,8,360,386,164,207,411,312,426,490,21092,31361,23246,22004,66,60,68,36,468,891,67,919,15,59,40,49,38,36,34,59,38,128,406,334,26,62,41,0,21,148,58,119,12,16,20,19,2,9,16,12,5,145,266,205,0,2,0,0,3,148,44,0,0,0,0,0,0,0,0,3,7,5,7,48,0,4,0,8,3,8,9,19,7367,10635,9076,8153,5301,5888,5053,4355,2338,3032,4759,4276,1079,1638,1659,1645,767,786,738,572,887,1193,1393,0,1086,1382,1346,1237,1100,1524,899,1058,1290,1236,1863,1245,933,1060,1111,1093,0,0,0,0,0,66,102,46,49,5,0,24,42,32,24,21,2,0,20,68,12,98,0,70,16,0,0,0,0,0,0,9236,7972,7040,9210,6573,18856,4392,2627,1713,3507,3835,2498,1288,2151,1334,1750,1156,1559,723,1424,1511,2079,7159,8518,8325,8295,9537,7560,9494,8528
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae",0,0,0,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,131,79,39,69,141,161,144,106,0,5,0,0,11,20,29,11,81,3,0,0,7,11,32,22,7,21,16,20,11,25,0,109,6,25,17,0,0,26,5,19,0,21,0,6,9,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,35507,41651,34999,29635,24176,30552,28061,23882,2349,3498,4381,3329,6275,9698,8727,7633,1078,1374,1783,1528,6226,6406,7632,45,5190,6438,7290,6773,1885,2551,2049,2448,6572,6975,9951,6692,5344,6407,5884,5501,0,0,0,0,0,0,65,129,49,0,3,7,0,5,21,35,0,0,14,61,5,53,0,22,6,16,0,0,0,0,0,42985,37829,31424,45807,35644,72135,19665,14529,9642,18161,21198,14883,6591,10379,7306,9608,7797,9825,6474,9564,9558,12439,27971,33562,41144,40223,45400,37897,47688,30396
