"","D4_Feces_515F_806R_01","D4_Feces_515F_806R_02","D4_Feces_515F_806R_03","D4_Feces_515F_806R_04","D4_Feces_tr515F_806R_01","D4_Feces_tr515F_806R_02","D4_Feces_tr515F_806R_03","D4_Feces_tr515F_806R_04","D4_Feces_V1-tr515F_806R_01","D4_Feces_V1-tr515F_806R_02","D4_Feces_V1-tr515F_806R_03","D4_Feces_V1-tr515F_806R_04","D4_Feces_V2-tr515F_806R_01","D4_Feces_V2-tr515F_806R_02","D4_Feces_V2-tr515F_806R_03","D4_Feces_V2-tr515F_806R_04","D4_Feces_V3-tr515F_806R_01","D4_Feces_V3-tr515F_806R_02","D4_Feces_V3-tr515F_806R_03","D4_Feces_V3-tr515F_806R_04","D4_Feces_V4-tr515F_806R_01","D4_Feces_V4-tr515F_806R_02","D4_Feces_V4-tr515F_806R_03","D4_Feces_V4-tr515F_806R_04","D4_Feces_V5-tr515F_806R_01","D4_Feces_V5-tr515F_806R_02","D4_Feces_V5-tr515F_806R_03","D4_Feces_V5-tr515F_806R_04","D4_Feces_V6-tr515F_806R_01","D4_Feces_V6-tr515F_806R_02","D4_Feces_V6-tr515F_806R_03","D4_Feces_V6-tr515F_806R_04","D4_Feces_V7-tr515F_806R_01","D4_Feces_V7-tr515F_806R_02","D4_Feces_V7-tr515F_806R_03","D4_Feces_V7-tr515F_806R_04","D4_Feces_V8-tr515F_806R_01","D4_Feces_V8-tr515F_806R_02","D4_Feces_V8-tr515F_806R_03","D4_Feces_V8-tr515F_806R_04","D5_Wastewater_515F_806R_01","D5_Wastewater_515F_806R_02","D5_Wastewater_515F_806R_03","D5_Wastewater_515F_806R_04","D5_Wastewater_tr515F_806R_01","D5_Wastewater_tr515F_806R_02","D5_Wastewater_tr515F_806R_03","D5_Wastewater_tr515F_806R_04","D5_Wastewater_V1-tr515F_806R_01","D5_Wastewater_V1-tr515F_806R_02","D5_Wastewater_V1-tr515F_806R_03","D5_Wastewater_V1-tr515F_806R_04","D5_Wastewater_V2-tr515F_806R_01","D5_Wastewater_V2-tr515F_806R_02","D5_Wastewater_V2-tr515F_806R_03","D5_Wastewater_V2-tr515F_806R_04","D5_Wastewater_V3-tr515F_806R_01","D5_Wastewater_V3-tr515F_806R_02","D5_Wastewater_V3-tr515F_806R_03","D5_Wastewater_V3-tr515F_806R_04","D5_Wastewater_V4-tr515F_806R_01","D5_Wastewater_V4-tr515F_806R_02","D5_Wastewater_V4-tr515F_806R_03","D5_Wastewater_V4-tr515F_806R_04","D5_Wastewater_V5-tr515F_806R_01","D5_Wastewater_V5-tr515F_806R_02","D5_Wastewater_V5-tr515F_806R_03","D5_Wastewater_V5-tr515F_806R_04","D5_Wastewater_V6-tr515F_806R_01","D5_Wastewater_V6-tr515F_806R_02","D5_Wastewater_V6-tr515F_806R_03","D5_Wastewater_V6-tr515F_806R_04","D5_Wastewater_V7-tr515F_806R_01","D5_Wastewater_V7-tr515F_806R_02","D5_Wastewater_V7-tr515F_806R_03","D5_Wastewater_V7-tr515F_806R_04","D5_Wastewater_V8-tr515F_806R_01","D5_Wastewater_V8-tr515F_806R_02","D5_Wastewater_V8-tr515F_806R_03","D5_Wastewater_V8-tr515F_806R_04","D6_Skin_515F_806R_01","D6_Skin_515F_806R_02","D6_Skin_515F_806R_03","D6_Skin_515F_806R_04","D6_Skin_tr515F_806R_01","D6_Skin_tr515F_806R_02","D6_Skin_tr515F_806R_03","D6_Skin_tr515F_806R_04","D6_Skin_V1-tr515F_806R_01","D6_Skin_V1-tr515F_806R_02","D6_Skin_V1-tr515F_806R_03","D6_Skin_V1-tr515F_806R_04","D6_Skin_V2-tr515F_806R_01","D6_Skin_V2-tr515F_806R_02","D6_Skin_V2-tr515F_806R_03","D6_Skin_V2-tr515F_806R_04","D6_Skin_V3-tr515F_806R_01","D6_Skin_V3-tr515F_806R_02","D6_Skin_V3-tr515F_806R_03","D6_Skin_V3-tr515F_806R_04","D6_Skin_V4-tr515F_806R_01","D6_Skin_V4-tr515F_806R_02","D6_Skin_V4-tr515F_806R_03","D6_Skin_V4-tr515F_806R_04","D6_Skin_V5-tr515F_806R_01","D6_Skin_V5-tr515F_806R_02","D6_Skin_V5-tr515F_806R_03","D6_Skin_V5-tr515F_806R_04","D6_Skin_V6-tr515F_806R_01","D6_Skin_V6-tr515F_806R_02","D6_Skin_V6-tr515F_806R_03","D6_Skin_V6-tr515F_806R_04","D6_Skin_V7-tr515F_806R_01","D6_Skin_V7-tr515F_806R_02","D6_Skin_V7-tr515F_806R_03","D6_Skin_V7-tr515F_806R_04","D6_Skin_V8-tr515F_806R_01","D6_Skin_V8-tr515F_806R_02","D6_Skin_V8-tr515F_806R_03","D6_Skin_V8-tr515F_806R_04","D7_Soil_515F_806R_01","D7_Soil_515F_806R_02","D7_Soil_515F_806R_03","D7_Soil_515F_806R_04","D7_Soil_tr515F_806R_01","D7_Soil_tr515F_806R_02","D7_Soil_tr515F_806R_03","D7_Soil_tr515F_806R_04","D7_Soil_V1-tr515F_806R_01","D7_Soil_V1-tr515F_806R_02","D7_Soil_V1-tr515F_806R_03","D7_Soil_V1-tr515F_806R_04","D7_Soil_V2-tr515F_806R_01","D7_Soil_V2-tr515F_806R_02","D7_Soil_V2-tr515F_806R_03","D7_Soil_V2-tr515F_806R_04","D7_Soil_V3-tr515F_806R_01","D7_Soil_V3-tr515F_806R_02","D7_Soil_V3-tr515F_806R_03","D7_Soil_V3-tr515F_806R_04","D7_Soil_V4-tr515F_806R_01","D7_Soil_V4-tr515F_806R_02","D7_Soil_V4-tr515F_806R_03","D7_Soil_V4-tr515F_806R_04","D7_Soil_V5-tr515F_806R_01","D7_Soil_V5-tr515F_806R_02","D7_Soil_V5-tr515F_806R_03","D7_Soil_V5-tr515F_806R_04","D7_Soil_V6-tr515F_806R_01","D7_Soil_V6-tr515F_806R_02","D7_Soil_V6-tr515F_806R_03","D7_Soil_V6-tr515F_806R_04","D7_Soil_V7-tr515F_806R_01","D7_Soil_V7-tr515F_806R_02","D7_Soil_V7-tr515F_806R_03","D7_Soil_V7-tr515F_806R_04","D7_Soil_V8-tr515F_806R_01","D7_Soil_V8-tr515F_806R_02","D7_Soil_V8-tr515F_806R_03","D7_Soil_V8-tr515F_806R_04","E1_Neg_515F_806R_01","E1_Neg_tr515F_tr515R_01","E1_Neg_tr515F_806R_01","E1_Neg_515F_tr515R_01","E1_Skin_515F_806R_02","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E1_Skin_tr515F_806R_01","E1_Skin_tr515F_806R_03","E1_Skin_tr515F_806R_06","E1_Skin_tr515F_806R_07","E1_Skin_tr515F_806R_08","E1_Skin_515F_tr515R_01","E1_Skin_515F_tr515R_02","E1_Skin_515F_tr515R_03","E1_Skin_515F_tr515R_04","E2_Neg_515F_806R_02","E2_Neg_tr515F_tr515R_02","E2_Neg_tr515F_806R_02","E2_Neg_515F_tr515R_02","E2_Soil_515F_806R_01","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08","E2_Soil_tr515F_806R_01","E2_Soil_tr515F_806R_02","E2_Soil_tr515F_806R_03","E2_Soil_tr515F_806R_04","E2_Soil_tr515F_806R_05","E2_Soil_tr515F_806R_06","E2_Soil_tr515F_806R_07","E2_Soil_tr515F_806R_08","E2_Soil_515F_tr515R_01","E2_Soil_515F_tr515R_02","E2_Soil_515F_tr515R_03","E2_Soil_515F_tr515R_04","E2_Soil_515F_tr515R_05","E2_Soil_515F_tr515R_06","E2_Soil_515F_tr515R_07","E2_Soil_515F_tr515R_08"
"d__Bacteria;p__Dependentiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,37,61,43,0,58,77,34,0,0,0,3,17,9,5,0,0,0,0,0,4,6,22,8,0,11,10,3,0,0,0,0,5,6,12,0,0,0,38,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,193,64,108,51,118,87,65,0,0,0,5,8,43,26,27,0,0,0,0,3,8,22,0,5,8,19,3,0,0,9,2,23,12,41,6,16,4,25,10,0,0,0,0,0,0,37,0,24,0,0,5,0,0,3,0,0,0,0,0,0,21,0,0,11,0,0,0,0,0,0,127,145,61,46,99,154,45,27,2,69,27,36,11,10,23,7,31,29,10,21,10,39,110,56,84,69,28,39,66,89
"d__Bacteria;p__Firmicutes",827537,905651,1036097,1064400,545101,754874,752665,793089,162725,228459,267612,225498,186913,277673,269181,279625,146877,174388,215031,214290,188867,228583,216191,135667,104929,197723,174419,195112,239566,253982,289943,232656,122418,137114,191226,177657,137670,117737,162804,152659,411775,350006,209282,242604,369662,377313,343574,297479,51074,83210,66243,55793,74211,65203,70052,54117,27718,63964,7858,59949,35206,47699,57793,52722,32000,44919,44677,47275,25362,74757,91755,87067,45685,59712,50180,29,55960,75189,62310,89226,1382953,1464575,1472203,1845884,1028403,1002587,1273435,1241089,424633,354174,370183,347727,320155,292297,412880,318986,215706,267405,279686,2030,280504,307707,298574,317161,205188,296310,245993,255521,249932,339127,334704,302257,270396,317425,242122,243874,246335,238504,242116,260211,41878,47608,43250,40504,29188,30949,25342,21628,2148,3089,3683,3784,5726,9647,8645,10062,1231,1752,1413,1780,5087,5778,7182,41,6500,7605,6929,6301,2458,3994,2748,2789,7431,6899,9176,6141,4147,4704,4476,5526,316,31,330,212,2,332522,266771,288291,382980,23146,23882,89586,73520,83175,95950,208006,15467,0,91686,307219,101624,402284,0,238120,71933,31369,5431,0,261,186,0,47167,41504,34284,52057,37612,103172,17803,12997,8967,16340,18474,12523,6180,10798,7038,9728,6856,8254,4935,7822,7870,12459,37778,39226,44791,44275,48133,41129,51371,44446
"d__Bacteria;p__Planctomycetota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,110,113,52,107,178,88,102,44,24,4,2,23,14,34,22,2,77,0,0,11,11,26,43,6,27,30,21,6,37,0,25,25,18,15,0,12,6,7,10,27,0,7,16,9,12,0,15,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,5,0,4,0,0,4,0,0,0,0,0,3,42,2,0,0,82711,96506,91251,77014,59118,87967,82969,68141,12319,16436,22980,25899,17882,29610,26522,24206,5063,6568,7453,7915,16807,18419,21208,30,14932,20256,21623,19993,8127,10590,8927,9337,17166,19773,28627,18140,12491,16193,14832,13392,0,0,0,0,0,304,180,256,574,12,25,70,78,75,85,292,5,0,64,49,61,326,0,158,46,20,0,0,0,0,0,108533,102618,83113,114846,85627,181923,73413,52160,37465,68103,71426,48433,20740,33574,17236,25106,19510,24942,15356,22249,22541,32292,96940,107980,126929,120026,123963,102551,115708,91979
"d__Bacteria;p__Actinobacteriota",5352,6216,6595,7401,3975,5451,5494,5511,614,889,742,1154,1090,1443,1530,1604,661,840,961,812,1149,1406,1298,867,734,1422,1247,1388,583,587,712,588,899,905,1349,1223,837,722,1087,958,29938,26608,15677,17784,27429,27172,25289,21528,3130,5305,3827,2891,5514,4949,5586,4061,1353,2783,296,3205,2492,3514,3954,3783,2420,3392,3536,3578,1758,5205,6543,4878,3475,4614,3650,0,4171,6055,4706,6247,439377,453771,479183,586475,327673,333425,413005,414431,94378,85748,77608,74562,103482,96054,135013,105632,50436,65226,68566,444,87898,102983,99211,101337,71932,98232,80322,85742,79658,109673,104252,92708,92128,113969,83289,83604,85291,83736,85700,91232,563303,651874,584547,504163,328660,410709,388331,333911,31303,38998,54636,57243,86349,134364,122436,113423,12911,18706,19491,19524,82484,91145,105911,472,75045,93343,100795,95458,31400,41572,33658,36619,92419,97572,142707,96970,62686,79601,71544,70754,3,12,34,4,0,390888,309516,345811,458573,35247,37715,151971,128602,138089,160129,356718,25959,1,127707,423967,143669,542175,0,353534,96511,44912,64,1,1022,0,0,611074,569153,481522,688523,515742,1124146,264606,199441,140690,260286,288946,199602,90334,144302,94994,137912,107464,138649,88176,130393,131480,179803,412377,481763,593552,580086,656820,531000,668576,475861
"d__Bacteria;p__Myxococcota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,162,170,119,272,189,133,182,0,397,42,17,17,48,37,17,0,158,0,71,24,11,22,28,25,24,23,11,22,11,12,132,14,44,19,0,10,55,37,124,5,0,0,25,34,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,41462,54285,53977,50090,21603,33378,35477,33889,6828,7540,10140,8482,7187,12103,10760,11094,2643,3110,2717,3250,7145,7737,9496,21,6698,8367,9791,8733,5527,7607,6875,6793,7470,8414,13061,9377,6638,8650,7346,8053,0,0,0,0,0,147,49,168,93,6,4,17,5,35,17,27,2,0,35,22,37,354,0,33,9,8,0,0,0,0,2,57774,52806,45029,65192,46613,114509,24223,16659,12353,23120,24547,17107,8549,14131,9079,13157,9368,12054,7603,11784,12015,17204,38679,41109,51611,45549,53476,44087,55435,46293
"d__Bacteria;p__Proteobacteria",2560,2787,3256,3350,2047,2630,2607,2758,418,900,765,394,507,738,690,704,424,340,514,694,560,660,602,384,374,624,630,644,108,125,194,103,317,428,589,550,394,331,517,519,624014,521636,327569,368559,554720,566719,516182,453457,85439,106225,100181,78656,107301,97537,105878,80528,41778,95551,11570,85165,55423,73549,89644,80559,45415,64030,63449,67000,31823,93125,112339,109079,65438,84417,67748,60,104362,130900,114071,157549,50737,55373,55276,68791,34118,39460,49350,46433,9575,9342,9605,9017,11623,10192,15314,12261,6202,7356,8236,27,9213,11647,6246,12019,8263,10821,9225,9632,13968,19764,19884,5144,10254,11863,8698,8820,9852,9735,9923,11020,560156,638459,560143,502922,355014,405256,370293,316443,28747,36424,51203,56567,82465,130734,121496,122558,13818,18523,18682,18307,75160,86792,98941,561,79305,95075,99312,90465,47729,67165,53847,63527,92556,92654,132021,87816,59729,74432,68332,71646,42,400,1592,80,0,61381,49294,56161,72615,4062,4231,17876,14868,16848,18729,44049,2963,0,19722,66468,21779,83860,0,43095,12197,5570,1863,0,1341,101,0,581699,539351,436269,654717,503098,1179181,250959,182680,129954,241210,268396,184415,86476,148510,95832,136443,99236,126718,79671,120202,124128,183088,410518,454288,540143,506523,577301,481899,605742,495887
"d__Bacteria;p__Bacteroidota",302840,343193,353044,391035,234315,313202,307574,318566,59817,80506,101039,86154,57527,84712,83873,88905,69844,81946,100731,105979,59302,71945,69331,46554,45777,85087,72154,78116,29181,30558,35787,29856,48443,53110,72294,65714,62537,51726,73656,73756,431864,356872,222148,254668,399278,407977,367443,332665,68994,91276,84022,72733,84533,74267,82136,64194,40029,92013,10526,84383,37964,52438,62612,57487,38610,54390,53698,54243,13533,46410,56598,51506,51685,63819,53421,44,70277,90971,77928,109321,387,417,355,506,383,325,384,350,2438,58,219,16,68,67,114,60,111,277,85,2,73,122,58,91,81,138,90,64,97,179,179,26,87,108,66,57,96,34,20,104,125683,141786,125530,116804,95643,101745,89317,73715,6704,7481,9175,10689,19490,32126,29461,32241,3927,4395,4578,4540,17943,20334,23446,63,22074,24173,23785,21516,3480,5639,5094,5714,23483,22446,30494,19363,18639,23967,20303,23252,3,0,99,0,0,113764,86374,97582,125777,9868,10147,37109,32895,36125,39855,85551,6254,0,36832,116323,37560,158091,0,88354,24751,10936,24,0,52,0,0,116602,104196,92351,127381,98026,237725,44083,31596,21919,43060,46618,32181,14884,26925,20590,28349,20358,24780,16031,24325,24824,39429,73818,72699,85095,80100,86213,70106,95829,76486
"d__Bacteria;__",43,44,20,31,34,36,52,36,30,19,108,333,42,70,83,102,90,62,100,52,6,0,0,0,6,29,7,22,54,39,34,39,25,6,10,47,11,0,5,8,360,386,164,207,411,312,426,490,21092,31361,23246,22004,66,60,68,36,468,891,67,919,15,59,40,49,38,36,34,59,38,128,406,334,26,62,41,0,21,148,58,119,12,16,20,19,2,9,16,12,5,145,266,205,0,2,0,0,3,148,44,0,0,0,0,0,0,0,0,3,7,5,7,48,0,4,0,8,3,8,9,19,7367,10635,9076,8153,5301,5888,5053,4355,2338,3032,4759,4276,1079,1638,1659,1645,767,786,738,572,887,1193,1393,0,1086,1382,1346,1237,1100,1524,899,1058,1290,1236,1863,1245,933,1060,1111,1093,0,0,0,0,0,66,102,46,49,5,0,24,42,32,24,21,2,0,20,68,12,98,0,70,16,0,0,0,0,0,0,9236,7972,7040,9210,6573,18856,4392,2627,1713,3507,3835,2498,1288,2151,1334,1750,1156,1559,723,1424,1511,2079,7159,8518,8325,8295,9537,7560,9494,8528
"d__Bacteria;p__Verrucomicrobiota",7558,8546,8489,10223,7155,9201,8970,9557,1599,2059,3648,2676,1825,2470,2431,2851,1502,2143,2467,2712,1608,2098,1998,1249,1485,2507,2079,2325,1975,1832,2039,1467,1505,1567,2126,1877,1281,858,1386,1409,4202,3243,2366,2240,3990,4324,3318,3311,613,2792,239,485,789,686,934,652,490,669,97,751,368,514,690,627,371,608,507,608,283,781,1056,1049,469,679,599,0,372,744,661,818,0,4,0,2,0,0,4,0,0,0,0,0,0,0,6,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,11,8,5,6,20189,22863,18617,17610,18281,17759,16172,12546,3514,3262,4151,4197,3697,5552,5788,6003,830,1442,1231,1086,3132,3580,4027,4,3717,4388,4163,3876,1808,3255,2620,3009,4162,3760,5286,3284,2368,3034,2889,2878,0,0,0,0,0,2527,1723,2294,2468,489,473,1899,1446,1612,1976,4256,243,0,1198,3110,1133,4321,0,3559,882,443,0,0,0,0,0,23905,21408,18427,25109,18542,51777,12356,8891,5738,10963,12783,8795,3892,6571,4213,5550,3848,4637,2713,4718,4818,6856,20943,21456,24592,21985,25695,19765,25119,22097
"d__Bacteria;p__Chloroflexi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,476,142,207,374,326,233,222,0,0,86,15,55,90,55,40,0,32,2,11,29,36,54,40,37,76,55,17,44,74,103,113,32,59,40,0,60,80,42,72,5,22,17,41,0,22,46,0,0,0,0,0,0,8,0,8,0,0,0,0,0,12,12,8,0,0,0,3,34,0,0,0,3,5,0,0,0,7,0,0,199372,230691,204865,183006,128998,159186,139828,112677,13454,14482,22241,21183,30257,48986,45365,44419,5340,6729,7422,7109,26988,30176,34938,168,29694,36188,36502,32479,12710,18088,14591,14897,36082,35523,47955,30602,19785,24614,23364,22962,0,0,0,0,0,215,145,336,224,26,22,96,70,84,176,168,11,0,102,232,57,290,0,326,105,39,0,0,67,0,0,204874,182676,154853,218392,166337,379546,126419,87789,64002,113666,120460,84389,38012,65504,34347,46341,32811,42699,25986,37808,39069,56830,195447,212833,254437,233611,247011,197783,245156,208856
