"","Phylum_Reads","Family_Reads","Genus_Reads","ASV_Reads"
"D4_Feces_515F_806R_01",1153477,1153477,1153477,1153477
"D4_Feces_515F_806R_02",1274211,1274211,1274211,1274211
"D4_Feces_515F_806R_03",1416124,1416124,1416124,1416124
"D4_Feces_515F_806R_04",1486096,1486096,1486096,1486096
"D4_Feces_tr515F_806R_01",798772,798772,798772,798772
"D4_Feces_tr515F_806R_02",1093366,1093366,1093366,1093366
"D4_Feces_tr515F_806R_03",1085217,1085217,1085217,1085217
"D4_Feces_tr515F_806R_04",1138264,1138264,1138264,1138264
"D4_Feces_V1-tr515F_806R_01",225907,225907,225907,225907
"D4_Feces_V1-tr515F_806R_02",313586,313586,313586,313586
"D4_Feces_V1-tr515F_806R_03",375117,375117,375117,375117
"D4_Feces_V1-tr515F_806R_04",317495,317495,317495,317495
"D4_Feces_V2-tr515F_806R_01",249370,249370,249370,249370
"D4_Feces_V2-tr515F_806R_02",369331,369331,369331,369331
"D4_Feces_V2-tr515F_806R_03",359888,359888,359888,359888
"D4_Feces_V2-tr515F_806R_04",376017,376017,376017,376017
"D4_Feces_V3-tr515F_806R_01",220683,220683,220683,220683
"D4_Feces_V3-tr515F_806R_02",261082,261082,261082,261082
"D4_Feces_V3-tr515F_806R_03",321249,321249,321249,321249
"D4_Feces_V3-tr515F_806R_04",326129,326129,326129,326129
"D4_Feces_V4-tr515F_806R_01",253011,253011,253011,253011
"D4_Feces_V4-tr515F_806R_02",306616,306616,306616,306616
"D4_Feces_V4-tr515F_806R_03",291227,291227,291227,291227
"D4_Feces_V4-tr515F_806R_04",185982,185982,185982,185982
"D4_Feces_V5-tr515F_806R_01",154423,154423,154423,154423
"D4_Feces_V5-tr515F_806R_02",289574,289574,289574,289574
"D4_Feces_V5-tr515F_806R_03",252335,252335,252335,252335
"D4_Feces_V5-tr515F_806R_04",279623,279623,279623,279623
"D4_Feces_V6-tr515F_806R_01",272098,272098,272098,272098
"D4_Feces_V6-tr515F_806R_02",288055,288055,288055,288055
