sample_name	cName	Type	Primer
#q2:types	categorical	categorical	categorical
E1_Neg_Standard_01	Neg_Standard	Neg	Standard
E1_Skin_Standard_02	Skin_Standard	Skin	Standard
E1_Skin_Standard_03	Skin_Standard	Skin	Standard
E1_Skin_Standard_04	Skin_Standard	Skin	Standard
E1_Skin_Standard_05	Skin_Standard	Skin	Standard
E1_Skin_Standard_06	Skin_Standard	Skin	Standard
E2_Neg_Standard_02	Neg_Standard	Neg	Standard
E2_Soil_Standard_01	Soil_Standard	Soil	Standard
E2_Soil_Standard_03	Soil_Standard	Soil	Standard
E2_Soil_Standard_04	Soil_Standard	Soil	Standard
E2_Soil_Standard_05	Soil_Standard	Soil	Standard
E2_Soil_Standard_06	Soil_Standard	Soil	Standard
E2_Soil_Standard_07	Soil_Standard	Soil	Standard
E2_Soil_Standard_08	Soil_Standard	Soil	Standard
D4_Fecal_StandardO_01	Fecal_StandardO	Fecal	StandardO
D4_Fecal_StandardO_02	Fecal_StandardO	Fecal	StandardO
D4_Fecal_StandardO_03	Fecal_StandardO	Fecal	StandardO
D4_Fecal_StandardO_04	Fecal_StandardO	Fecal	StandardO
D5_Water_StandardO_01	Water_StandardO	Water	StandardO
D5_Water_StandardO_02	Water_StandardO	Water	StandardO
D5_Water_StandardO_03	Water_StandardO	Water	StandardO
D5_Water_StandardO_04	Water_StandardO	Water	StandardO
D6_Skin_StandardO_01	Skin_StandardO	Skin	StandardO
D6_Skin_StandardO_02	Skin_StandardO	Skin	StandardO
D6_Skin_StandardO_03	Skin_StandardO	Skin	StandardO
D6_Skin_StandardO_04	Skin_StandardO	Skin	StandardO
D7_Soil_StandardO_01	Soil_StandardO	Soil	StandardO
D7_Soil_StandardO_02	Soil_StandardO	Soil	StandardO
D7_Soil_StandardO_03	Soil_StandardO	Soil	StandardO
D7_Soil_StandardO_04	Soil_StandardO	Soil	StandardO
E1_Neg_TruncatedA_01	Neg_TruncatedA	Neg	TruncatedA
E1_Skin_TruncatedA_01	Skin_TruncatedA	Skin	TruncatedA
